Date : 2019-08-02 15:39:23
Directory : c:\Users\s1700530\Documents\Junction\2019-website
Total : 262 files,  41377 codes, 754 comments, 1608 blanks, all 43739 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |         66 |     33,867 |          0 |         55 |     33,922 |
| JavaScript React |        118 |      3,935 |        642 |        817 |      5,394 |
| SCSS             |         54 |      2,087 |          7 |        313 |      2,407 |
| Markdown         |          6 |        671 |          0 |        323 |        994 |
| HTML             |          3 |        465 |         25 |         35 |        525 |
| CSS              |          6 |        149 |         45 |         27 |        221 |
| XML              |          4 |        110 |          0 |          3 |        113 |
| Ignore           |          4 |         80 |         35 |         31 |        146 |
| Properties       |          1 |         13 |          0 |          4 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |        262 |     41,377 |        754 |      1,608 |     43,739 |
| frontend                                                        |        162 |     23,401 |        160 |        945 |     24,506 |
| frontend\app                                                    |        157 |     21,929 |        156 |        937 |     23,022 |
| cms                                                             |         93 |     16,788 |        594 |        371 |     17,753 |
| frontend\app\src                                                |        147 |      6,416 |        126 |        891 |      7,433 |
| frontend\app\src\components                                     |         84 |      3,802 |          6 |        562 |      4,370 |
| cms\api                                                         |         50 |      1,109 |        542 |        273 |      1,924 |
| frontend\app\src\Pages                                          |         18 |        751 |          0 |         94 |        845 |
| frontend\app\src\components\inputs                              |         18 |        511 |          0 |        102 |        613 |
| cms\config                                                      |         34 |        481 |         22 |         42 |        545 |
| frontend\app\src\fontello                                       |          8 |        458 |         45 |         39 |        542 |
| cms\config\environments                                         |         18 |        391 |          0 |         18 |        409 |
| frontend\app\src\redux                                          |         15 |        387 |         12 |         64 |        463 |
| frontend\app\src\components\Header                              |          4 |        313 |          1 |         50 |        364 |
| frontend\app\src\components\Footer                              |          2 |        270 |          4 |         35 |        309 |
| frontend\app\src\data                                           |          1 |        241 |          0 |          1 |        242 |
| frontend\app\src\components\ChallengesGrid                      |          4 |        232 |          0 |         22 |        254 |
| frontend\app\src\components\FaqGrid                             |          3 |        210 |          0 |         23 |        233 |
| frontend\app\src\components\ButtonLink                          |          2 |        197 |          0 |         10 |        207 |
| frontend\app\src\styles                                         |          6 |        195 |          1 |         37 |        233 |
| cms\api\textfield                                               |          5 |        190 |         95 |         53 |        338 |
| cms\api\mediafield                                              |          5 |        188 |         95 |         52 |        335 |
| frontend\app\src\components\TeamMemberGrid                      |          2 |        187 |          0 |         29 |        216 |
| frontend\app\src\components\Header\NavMenu                      |          2 |        187 |          1 |         28 |        216 |
| frontend\app\src\components\ContactForm                         |          2 |        180 |          0 |         27 |        207 |
| frontend\app\src\redux\dynamiccontent                           |          4 |        169 |          2 |         27 |        198 |
| frontend\app\src\services                                       |          5 |        166 |         10 |         23 |        199 |
| frontend\app\public                                             |          6 |        156 |         25 |          6 |        187 |
| frontend\app\src\fontello\css                                   |          6 |        149 |         45 |         27 |        221 |
| cms\public                                                      |          1 |        144 |          0 |         22 |        166 |
| frontend\app\src\components\Markdown                            |          2 |        133 |          0 |         19 |        152 |
| cms\config\environments\production                              |          6 |        132 |          0 |          6 |        138 |
| cms\config\environments\staging                                 |          6 |        131 |          0 |          6 |        137 |
| frontend\app\src\Pages\Home                                     |          2 |        130 |          0 |         15 |        145 |
| cms\config\environments\development                             |          6 |        128 |          0 |          6 |        134 |
| frontend\app\src\services\graphql                               |          1 |        125 |          3 |          5 |        133 |
| frontend\app\src\components\inputs\Form                         |          2 |        125 |          0 |         22 |        147 |
| frontend\app\src\redux\staticcontent                            |          5 |        121 |          0 |         16 |        137 |
| frontend\app\src\Pages\PageHOC                                  |          2 |        117 |          0 |         14 |        131 |
| frontend\app\src\components\HeroImage                           |          2 |        110 |          1 |         18 |        129 |
| frontend\app\src\components\DatesGrid                           |          3 |        108 |          0 |         10 |        118 |
| frontend\app\src\Pages\JunctionWeek                             |          2 |        106 |          0 |         11 |        117 |
| cms\api\mediafield\services                                     |          1 |        106 |         57 |         36 |        199 |
| cms\api\textfield\services                                      |          1 |        106 |         57 |         36 |        199 |
| cms\api\teammember                                              |          5 |        104 |         44 |         21 |        169 |
| frontend\app\src\components\NewsLetterForm                      |          2 |        103 |          0 |         16 |        119 |
| frontend\app\src\Pages\Info                                     |          2 |        101 |          0 |         10 |        111 |
| frontend\app\src\components\EditorTools                         |          2 |        101 |          0 |         20 |        121 |
| cms\api\partner                                                 |          5 |         99 |         44 |         21 |        164 |
| frontend\app\src\components\ImageSection                        |          2 |         98 |          0 |         11 |        109 |
| cms\api\eventdates                                              |          5 |         95 |         44 |         21 |        160 |
| frontend\app\src\components\BasicHeader                         |          2 |         95 |          0 |         16 |        111 |
| cms\api\challenge                                               |          5 |         93 |         44 |         21 |        158 |
| cms\api\track                                                   |          5 |         92 |         44 |         21 |        157 |
| frontend\app\src\components\FooterImageButtons                  |          2 |         91 |          0 |         12 |        103 |
| frontend\app\src\components\PartnersGrid                        |          2 |         89 |          0 |         14 |        103 |
| frontend\app\src\Pages\Volunteer                                |          2 |         86 |          0 |         10 |         96 |
| cms\api\footerimage                                             |          5 |         86 |         44 |         21 |        151 |
| cms\api\stats                                                   |          5 |         81 |         44 |         21 |        146 |
| cms\api\faq                                                     |          5 |         81 |         44 |         21 |        146 |
| frontend\app\src\components\HeroCTA                             |          2 |         80 |          0 |         11 |         91 |
| frontend\app\src\components\inputs\DropDown                     |          2 |         78 |          0 |         12 |         90 |
| frontend\app\src\components\inputs\RadioButtons                 |          2 |         76 |          0 |         15 |         91 |
| frontend\app\src\components\BasicSection                        |          2 |         76 |          0 |         14 |         90 |
| frontend\app\src\utils                                          |          3 |         74 |          2 |         11 |         87 |
| frontend\app\src\components\Image                               |          2 |         72 |          0 |         12 |         84 |
| frontend\app\src\components\Video                               |          2 |         70 |          0 |         11 |         81 |
| frontend\app\src\components\SocialMediaIcons                    |          3 |         68 |          0 |         14 |         82 |
| frontend\app\src\components\TracksGrid                          |          2 |         68 |          0 |         10 |         78 |
| frontend\app\src\components\StylishContainer                    |          2 |         66 |          0 |          5 |         71 |
| frontend\app\src\components\inputs\TextArea                     |          2 |         60 |          0 |         12 |         72 |
| frontend\app\src\components\SingleColumnSection                 |          2 |         59 |          0 |          6 |         65 |
| frontend\app\src\redux\socialmedias                             |          4 |         59 |          7 |         12 |         78 |
| cms\api\stats\config                                            |          1 |         52 |          0 |          1 |         53 |
| cms\api\challenge\config                                        |          1 |         52 |          0 |          1 |         53 |
| cms\api\textfield\config                                        |          1 |         52 |          0 |          1 |         53 |
| cms\api\track\config                                            |          1 |         52 |          0 |          1 |         53 |
| cms\api\footerimage\config                                      |          1 |         52 |          0 |          1 |         53 |
| cms\api\partner\config                                          |          1 |         52 |          0 |          1 |         53 |
| cms\api\mediafield\config                                       |          1 |         52 |          0 |          1 |         53 |
| cms\api\eventdates\config                                       |          1 |         52 |          0 |          1 |         53 |
| cms\api\teammember\config                                       |          1 |         52 |          0 |          1 |         53 |
| cms\api\faq\config                                              |          1 |         52 |          0 |          1 |         53 |
| frontend\app\src\components\LogoSpinner                         |          2 |         51 |          0 |         11 |         62 |
| frontend\app\src\components\StatBlocks                          |          2 |         50 |          0 |          9 |         59 |
| frontend\app\src\Pages\Partners                                 |          1 |         49 |          0 |          8 |         57 |
| frontend\app\src\Pages\Challenges                               |          2 |         48 |          0 |          8 |         56 |
| cms\api\teammember\models                                       |          2 |         48 |         38 |         14 |        100 |
| frontend\app\src\components\AreYouReady                         |          2 |         47 |          0 |          8 |         55 |
| frontend\app\src\components\inputs\TextInput                    |          2 |         44 |          0 |         10 |         54 |
| frontend\app\src\Pages\Team                                     |          2 |         43 |          0 |          9 |         52 |
| cms\api\partner\models                                          |          2 |         43 |         38 |         14 |         95 |
| frontend\app\src\components\inputs\SubmitButton                 |          2 |         42 |          0 |          9 |         51 |
| frontend\app\src\Pages\NotFound                                 |          2 |         40 |          0 |          5 |         45 |
| cms\api\eventdates\models                                       |          2 |         39 |         38 |         14 |         91 |
| cms\api\challenge\models                                        |          2 |         37 |         38 |         14 |         89 |
| frontend\app\src\components\inputs\FormRow                      |          2 |         37 |          0 |          8 |         45 |
| cms\api\track\models                                            |          2 |         36 |         38 |         14 |         88 |
| frontend\app\src\components\inputs\InputLabel                   |          2 |         33 |          0 |         10 |         43 |
| frontend\app\src\Pages\AnimatedPage                             |          1 |         31 |          0 |          4 |         35 |
| cms\api\footerimage\models                                      |          2 |         30 |         38 |         14 |         82 |
| cms\api\textfield\models                                        |          2 |         29 |         38 |         14 |         81 |
| frontend\app\src\components\Divider                             |          2 |         28 |          0 |          7 |         35 |
| cms\api\mediafield\models                                       |          2 |         28 |         38 |         14 |         80 |
| frontend\app\src\components\GradientLink                        |          2 |         26 |          0 |          6 |         32 |
| frontend\app\src\hooks                                          |          1 |         26 |          0 |          4 |         30 |
| cms\api\faq\models                                              |          2 |         25 |         38 |         14 |         77 |
| cms\api\stats\models                                            |          2 |         25 |         38 |         14 |         77 |
| cms\config\locales                                              |          8 |         24 |          0 |          8 |         32 |
| frontend\app\src\components\inputs\InputError                   |          2 |         16 |          0 |          4 |         20 |
| frontend\app\src\components\ScrollToTop                         |          1 |         13 |          0 |          4 |         17 |
| frontend\app\src\fontello\font                                  |          1 |         13 |          0 |          1 |         14 |
| cms\config\functions                                            |          3 |         11 |         22 |         11 |         44 |
| cms\api\textfield\controllers                                   |          1 |          3 |          0 |          2 |          5 |
| cms\extensions\users-permissions\config                         |          1 |          3 |          0 |          0 |          3 |
| cms\extensions\users-permissions                                |          1 |          3 |          0 |          0 |          3 |
| cms\extensions                                                  |          1 |          3 |          0 |          0 |          3 |
| cms\config\functions\responses                                  |          1 |          3 |          1 |          2 |          6 |
| cms\api\faq\services                                            |          1 |          2 |          3 |          3 |          8 |
| cms\api\mediafield\controllers                                  |          1 |          2 |          0 |          1 |          3 |
| cms\api\faq\controllers                                         |          1 |          2 |          3 |          3 |          8 |
| cms\api\partner\services                                        |          1 |          2 |          3 |          3 |          8 |
| cms\api\eventdates\controllers                                  |          1 |          2 |          3 |          3 |          8 |
| cms\api\eventdates\services                                     |          1 |          2 |          3 |          3 |          8 |
| cms\api\footerimage\services                                    |          1 |          2 |          3 |          3 |          8 |
| cms\api\challenge\controllers                                   |          1 |          2 |          3 |          3 |          8 |
| cms\api\teammember\services                                     |          1 |          2 |          3 |          3 |          8 |
| cms\api\stats\services                                          |          1 |          2 |          3 |          3 |          8 |
| cms\api\teammember\controllers                                  |          1 |          2 |          3 |          3 |          8 |
| cms\api\stats\controllers                                       |          1 |          2 |          3 |          3 |          8 |
| cms\api\challenge\services                                      |          1 |          2 |          3 |          3 |          8 |
| cms\api\track\controllers                                       |          1 |          2 |          3 |          3 |          8 |
| cms\api\track\services                                          |          1 |          2 |          3 |          3 |          8 |
| cms\api\footerimage\controllers                                 |          1 |          2 |          3 |          3 |          8 |
| cms\api\partner\controllers                                     |          1 |          2 |          3 |          3 |          8 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                        | language         | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------------+------------+------------+------------+------------+
| DEPLOYMENT.md                                                   | Markdown         |        157 |          0 |         72 |        229 |
| DEVELOPMENT.md                                                  | Markdown         |        335 |          0 |        148 |        483 |
| README.md                                                       | Markdown         |         15 |          0 |         14 |         29 |
| SETUP.md                                                        | Markdown         |        125 |          0 |         55 |        180 |
| cms\.editorconfig                                               | Properties       |         13 |          0 |          4 |         17 |
| cms\.eslintignore                                               | Ignore           |          1 |          0 |          1 |          2 |
| cms\.gitignore                                                  | Ignore           |         63 |         30 |         24 |        117 |
| cms\README.md                                                   | Markdown         |          2 |          0 |          2 |          4 |
| cms\api\challenge\config\routes.json                            | JSON             |         52 |          0 |          1 |         53 |
| cms\api\challenge\controllers\Challenge.js                      | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\challenge\models\Challenge.js                           | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\challenge\models\Challenge.settings.json                | JSON             |         34 |          0 |          0 |         34 |
| cms\api\challenge\services\Challenge.js                         | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\eventdates\config\routes.json                           | JSON             |         52 |          0 |          1 |         53 |
| cms\api\eventdates\controllers\Eventdates.js                    | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\eventdates\models\Eventdates.js                         | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\eventdates\models\Eventdates.settings.json              | JSON             |         36 |          0 |          0 |         36 |
| cms\api\eventdates\services\Eventdates.js                       | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\faq\config\routes.json                                  | JSON             |         52 |          0 |          1 |         53 |
| cms\api\faq\controllers\Faq.js                                  | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\faq\models\Faq.js                                       | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\faq\models\Faq.settings.json                            | JSON             |         22 |          0 |          0 |         22 |
| cms\api\faq\services\Faq.js                                     | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\footerimage\config\routes.json                          | JSON             |         52 |          0 |          1 |         53 |
| cms\api\footerimage\controllers\Footerimage.js                  | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\footerimage\models\Footerimage.js                       | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\footerimage\models\Footerimage.settings.json            | JSON             |         27 |          0 |          0 |         27 |
| cms\api\footerimage\services\Footerimage.js                     | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\mediafield\config\routes.json                           | JSON             |         52 |          0 |          1 |         53 |
| cms\api\mediafield\controllers\Mediafield.js                    | JavaScript React |          2 |          0 |          1 |          3 |
| cms\api\mediafield\models\Mediafield.js                         | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\mediafield\models\Mediafield.settings.json              | JSON             |         25 |          0 |          0 |         25 |
| cms\api\mediafield\services\Mediafield.js                       | JavaScript React |        106 |         57 |         36 |        199 |
| cms\api\partner\config\routes.json                              | JSON             |         52 |          0 |          1 |         53 |
| cms\api\partner\controllers\Partner.js                          | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\partner\models\Partner.js                               | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\partner\models\Partner.settings.json                    | JSON             |         40 |          0 |          0 |         40 |
| cms\api\partner\services\Partner.js                             | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\stats\config\routes.json                                | JSON             |         52 |          0 |          1 |         53 |
| cms\api\stats\controllers\Stats.js                              | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\stats\models\Stats.js                                   | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\stats\models\Stats.settings.json                        | JSON             |         22 |          0 |          0 |         22 |
| cms\api\stats\services\Stats.js                                 | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\teammember\config\routes.json                           | JSON             |         52 |          0 |          1 |         53 |
| cms\api\teammember\controllers\Teammember.js                    | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\teammember\models\Teammember.js                         | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\teammember\models\Teammember.settings.json              | JSON             |         45 |          0 |          0 |         45 |
| cms\api\teammember\services\Teammember.js                       | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\textfield\config\routes.json                            | JSON             |         52 |          0 |          1 |         53 |
| cms\api\textfield\controllers\Textfield.js                      | JavaScript React |          3 |          0 |          2 |          5 |
| cms\api\textfield\models\Textfield.js                           | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\textfield\models\Textfield.settings.json                | JSON             |         26 |          0 |          0 |         26 |
| cms\api\textfield\services\Textfield.js                         | JavaScript React |        106 |         57 |         36 |        199 |
| cms\api\track\config\routes.json                                | JSON             |         52 |          0 |          1 |         53 |
| cms\api\track\controllers\Track.js                              | JavaScript React |          2 |          3 |          3 |          8 |
| cms\api\track\models\Track.js                                   | JavaScript React |          3 |         38 |         14 |         55 |
| cms\api\track\models\Track.settings.json                        | JSON             |         33 |          0 |          0 |         33 |
| cms\api\track\services\Track.js                                 | JavaScript React |          2 |          3 |          3 |          8 |
| cms\app.json                                                    | JSON             |         12 |          0 |          1 |         13 |
| cms\config\application.json                                     | JSON             |         10 |          0 |          1 |         11 |
| cms\config\custom.json                                          | JSON             |          3 |          0 |          1 |          4 |
| cms\config\environments\development\custom.json                 | JSON             |          3 |          0 |          1 |          4 |
| cms\config\environments\development\database.json               | JSON             |         17 |          0 |          1 |         18 |
| cms\config\environments\development\request.json                | JSON             |         23 |          0 |          1 |         24 |
| cms\config\environments\development\response.json               | JSON             |         12 |          0 |          1 |         13 |
| cms\config\environments\development\security.json               | JSON             |         60 |          0 |          1 |         61 |
| cms\config\environments\development\server.json                 | JSON             |         13 |          0 |          1 |         14 |
| cms\config\environments\production\custom.json                  | JSON             |          3 |          0 |          1 |          4 |
| cms\config\environments\production\database.json                | JSON             |         18 |          0 |          1 |         19 |
| cms\config\environments\production\request.json                 | JSON             |         23 |          0 |          1 |         24 |
| cms\config\environments\production\response.json                | JSON             |         12 |          0 |          1 |         13 |
| cms\config\environments\production\security.json                | JSON             |         62 |          0 |          1 |         63 |
| cms\config\environments\production\server.json                  | JSON             |         14 |          0 |          1 |         15 |
| cms\config\environments\staging\custom.json                     | JSON             |          3 |          0 |          1 |          4 |
| cms\config\environments\staging\database.json                   | JSON             |         17 |          0 |          1 |         18 |
| cms\config\environments\staging\request.json                    | JSON             |         23 |          0 |          1 |         24 |
| cms\config\environments\staging\response.json                   | JSON             |         12 |          0 |          1 |         13 |
| cms\config\environments\staging\security.json                   | JSON             |         62 |          0 |          1 |         63 |
| cms\config\environments\staging\server.json                     | JSON             |         14 |          0 |          1 |         15 |
| cms\config\functions\bootstrap.js                               | JavaScript React |          5 |          7 |          4 |         16 |
| cms\config\functions\cron.js                                    | JavaScript React |          3 |         14 |          5 |         22 |
| cms\config\functions\responses\404.js                           | JavaScript React |          3 |          1 |          2 |          6 |
| cms\config\hook.json                                            | JSON             |         10 |          0 |          1 |         11 |
| cms\config\language.json                                        | JSON             |         13 |          0 |          1 |         14 |
| cms\config\locales\de_de.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\en_us.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\es_es.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\fr_fr.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\it_it.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\ja_jp.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\ru_ru.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\locales\tr_tr.json                                   | JSON             |          3 |          0 |          1 |          4 |
| cms\config\middleware.json                                      | JSON             |         19 |          0 |          1 |         20 |
| cms\extensions\users-permissions\config\jwt.json                | JSON             |          3 |          0 |          0 |          3 |
| cms\package-lock.json                                           | JSON             |     14,904 |          0 |          1 |     14,905 |
| cms\package.json                                                | JSON             |         56 |          0 |          1 |         57 |
| cms\public\index.html                                           | HTML             |        144 |          0 |         22 |        166 |
| config.json                                                     | JSON             |         22 |          0 |          1 |         23 |
| frontend\.gitignore                                             | Ignore           |          2 |          0 |          0 |          2 |
| frontend\app.json                                               | JSON             |         12 |          0 |          1 |         13 |
| frontend\app\.gitignore                                         | Ignore           |         14 |          5 |          6 |         25 |
| frontend\app\README.md                                          | Markdown         |         37 |          0 |         32 |         69 |
| frontend\app\package-lock.json                                  | JSON             |     15,244 |          0 |          1 |     15,245 |
| frontend\app\package.json                                       | JSON             |         62 |          0 |          1 |         63 |
| frontend\app\public\browserconfig.xml                           | XML              |          9 |          0 |          1 |         10 |
| frontend\app\public\index.html                                  | HTML             |         25 |         25 |          2 |         52 |
| frontend\app\public\manifest.json                               | JSON             |         15 |          0 |          1 |         16 |
| frontend\app\public\safari-pinned-tab.svg                       | XML              |         80 |          0 |          1 |         81 |
| frontend\app\public\site.webmanifest                            | JSON             |         19 |          0 |          1 |         20 |
| frontend\app\public\sitemap.xml                                 | XML              |          8 |          0 |          0 |          8 |
| frontend\app\src\App.js                                         | JavaScript React |        114 |          0 |         21 |        135 |
| frontend\app\src\App.scss                                       | SCSS             |         34 |          0 |          3 |         37 |
| frontend\app\src\GlobalLifecycle.js                             | JavaScript React |         19 |          9 |          5 |         33 |
| frontend\app\src\Pages\AnimatedPage\index.js                    | JavaScript React |         31 |          0 |          4 |         35 |
| frontend\app\src\Pages\Challenges\index.js                      | JavaScript React |         48 |          0 |          7 |         55 |
| frontend\app\src\Pages\Challenges\style.scss                    | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\Pages\Home\Home.module.scss                    | SCSS             |         19 |          0 |          5 |         24 |
| frontend\app\src\Pages\Home\index.js                            | JavaScript React |        111 |          0 |         10 |        121 |
| frontend\app\src\Pages\Info\index.js                            | JavaScript React |        101 |          0 |          9 |        110 |
| frontend\app\src\Pages\Info\style.scss                          | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\Pages\JunctionWeek\index.js                    | JavaScript React |        106 |          0 |         10 |        116 |
| frontend\app\src\Pages\JunctionWeek\style.scss                  | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\Pages\NotFound\index.js                        | JavaScript React |         21 |          0 |          4 |         25 |
| frontend\app\src\Pages\NotFound\style.scss                      | SCSS             |         19 |          0 |          1 |         20 |
| frontend\app\src\Pages\PageHOC\index.js                         | JavaScript React |        117 |          0 |         13 |        130 |
| frontend\app\src\Pages\PageHOC\style.scss                       | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\Pages\Partners\index.js                        | JavaScript React |         49 |          0 |          8 |         57 |
| frontend\app\src\Pages\Team\index.js                            | JavaScript React |         43 |          0 |          8 |         51 |
| frontend\app\src\Pages\Team\style.scss                          | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\Pages\Volunteer\index.js                       | JavaScript React |         86 |          0 |          9 |         95 |
| frontend\app\src\Pages\Volunteer\style.scss                     | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\components\AreYouReady\index.js                | JavaScript React |         24 |          0 |          5 |         29 |
| frontend\app\src\components\AreYouReady\style.scss              | SCSS             |         23 |          0 |          3 |         26 |
| frontend\app\src\components\BasicHeader\index.js                | JavaScript React |         40 |          0 |          7 |         47 |
| frontend\app\src\components\BasicHeader\style.scss              | SCSS             |         55 |          0 |          9 |         64 |
| frontend\app\src\components\BasicSection\index.js               | JavaScript React |         18 |          0 |          2 |         20 |
| frontend\app\src\components\BasicSection\style.scss             | SCSS             |         58 |          0 |         12 |         70 |
| frontend\app\src\components\ButtonLink\Style.scss               | SCSS             |        103 |          0 |          7 |        110 |
| frontend\app\src\components\ButtonLink\index.js                 | JavaScript React |         94 |          0 |          3 |         97 |
| frontend\app\src\components\ChallengesGrid\ChallengeItem.js     | JavaScript React |         22 |          0 |          4 |         26 |
| frontend\app\src\components\ChallengesGrid\MentorItem.js        | JavaScript React |         19 |          0 |          3 |         22 |
| frontend\app\src\components\ChallengesGrid\index.js             | JavaScript React |         71 |          0 |          9 |         80 |
| frontend\app\src\components\ChallengesGrid\style.scss           | SCSS             |        120 |          0 |          6 |        126 |
| frontend\app\src\components\ContactForm\index.js                | JavaScript React |        156 |          0 |         21 |        177 |
| frontend\app\src\components\ContactForm\style.scss              | SCSS             |         24 |          0 |          6 |         30 |
| frontend\app\src\components\DatesGrid\TimeItem.js               | JavaScript React |         17 |          0 |          3 |         20 |
| frontend\app\src\components\DatesGrid\index.js                  | JavaScript React |         31 |          0 |          4 |         35 |
| frontend\app\src\components\DatesGrid\style.scss                | SCSS             |         60 |          0 |          3 |         63 |
| frontend\app\src\components\Divider\Divider.module.scss         | SCSS             |         20 |          0 |          5 |         25 |
| frontend\app\src\components\Divider\index.js                    | JavaScript React |          8 |          0 |          2 |         10 |
| frontend\app\src\components\EditorTools\index.js                | JavaScript React |         49 |          0 |         12 |         61 |
| frontend\app\src\components\EditorTools\style.scss              | SCSS             |         52 |          0 |          8 |         60 |
| frontend\app\src\components\FaqGrid\FaqGridItem.js              | JavaScript React |         45 |          0 |          4 |         49 |
| frontend\app\src\components\FaqGrid\index.js                    | JavaScript React |         27 |          0 |          8 |         35 |
| frontend\app\src\components\FaqGrid\style.scss                  | SCSS             |        138 |          0 |         11 |        149 |
| frontend\app\src\components\FooterImageButtons\index.js         | JavaScript React |         39 |          0 |          6 |         45 |
| frontend\app\src\components\FooterImageButtons\style.scss       | SCSS             |         52 |          0 |          6 |         58 |
| frontend\app\src\components\Footer\index.js                     | JavaScript React |        148 |          0 |          9 |        157 |
| frontend\app\src\components\Footer\style.scss                   | SCSS             |        122 |          4 |         26 |        152 |
| frontend\app\src\components\GradientLink\index.js               | JavaScript React |         10 |          0 |          3 |         13 |
| frontend\app\src\components\GradientLink\style.scss             | SCSS             |         16 |          0 |          3 |         19 |
| frontend\app\src\components\Header\NavMenu\index.js             | JavaScript React |         86 |          0 |         14 |        100 |
| frontend\app\src\components\Header\NavMenu\style.scss           | SCSS             |        101 |          1 |         14 |        116 |
| frontend\app\src\components\Header\index.js                     | JavaScript React |         62 |          0 |         11 |         73 |
| frontend\app\src\components\Header\style.scss                   | SCSS             |         64 |          0 |         11 |         75 |
| frontend\app\src\components\HeroCTA\index.js                    | JavaScript React |         44 |          0 |          7 |         51 |
| frontend\app\src\components\HeroCTA\style.scss                  | SCSS             |         36 |          0 |          4 |         40 |
| frontend\app\src\components\HeroImage\index.js                  | JavaScript React |         42 |          0 |          6 |         48 |
| frontend\app\src\components\HeroImage\style.scss                | SCSS             |         68 |          1 |         12 |         81 |
| frontend\app\src\components\ImageSection\index.js               | JavaScript React |         29 |          0 |          4 |         33 |
| frontend\app\src\components\ImageSection\style.scss             | SCSS             |         69 |          0 |          7 |         76 |
| frontend\app\src\components\Image\index.js                      | JavaScript React |         62 |          0 |          9 |         71 |
| frontend\app\src\components\Image\style.scss                    | SCSS             |         10 |          0 |          3 |         13 |
| frontend\app\src\components\LogoSpinner\index.js                | JavaScript React |         23 |          0 |          6 |         29 |
| frontend\app\src\components\LogoSpinner\style.scss              | SCSS             |         28 |          0 |          5 |         33 |
